,Spanish,German,Japanese,Korean
_ReflectionApplyTransparency,Aplicar transparencia,Transparenz anwenden,透明性を適用します,
_ReflectionBlendMode,Modos de mezcla,Mischmodi,ブレンドモード,
m_start_LTCGI,Sistema de iluminación global LTCGI,LTCGI,LTCGI,
_LTCGIEnabled,LTCGI activado,LTCGI aktiviert,LTCGIが有効になっています,
_LTCGI_Attribution,En esta sección usaremos el sistema de iluminación global LTCGI desarrollado por _pi_. Para más información haga clic en 'github.com/pimaker/ltcgi',In diesem Abschnitt wird LTCGI von _pi_ verwendet. Klicken Sie auf 'github.com/pimaker/ltcgi' ',このセクションでは、_PI_でLTCGIを使用して、「github.com/pimaker/ltcgi」をクリックします。,
_LTCGI_AnimToggle,Activar/desactivar animación,Anim -Schalter,アニックトグル,
_LTCGI_DiffuseColor,Tinte difuso,Diffuse Tönung,拡散色,
_LTCGI_SpecularColor,Tinte especular,Specular Tint,鏡面色,
_LTCGI_UsePBR,Usar la reflexión y la configuración especular,Verwenden Sie die Einstellungen von Reflexion und Speculars,反射と鏡面の設定を使用します,
_LTCGI_UseEO,Usar oclusión de exposición,Verwenden Sie die Expositionsverschluss,露出閉塞を使用します,
_LTCGI_Smoothness,Suavidad,Glätte,滑らかさ,
_LTCGI_Metallic,Metálico,Metallisch,メタリック,
m_end_LTCGI,Sistema de iluminación global LTCGI,LTCGI,LTCGI,
s_start_OutlineColorAdjust,Ajuste del color,Farbanpassung,色調整,
_OutlineHue,Tono,Farbton,色相,
_OutlineSaturation,Saturación,Sättigung,飽和,
_OutlineValue,Valor,Wert,価値,
_OutlineGamma,Gamma,Gamma,ガンマ,
s_end_OutlineColorAdjust,Ajuste del color,Farbanpassung,色調整,
s_start_OutlineAlphaDistanceFade,Distancia alfa,Entfernung Alpha,距離アルファ,
s_end_OutlineAlphaDistanceFade,Distancia alfa,Entfernung Alpha,距離アルファ,
s_start_OutlineFixedSize,Tamaño fijo a lo largo de la distancia,Feste Größe über Abstand,距離にわたる固定サイズ,
_OutlineFixWidth,Ancho fijo,Festbreite,固定幅,
s_end_OutlineFixedSize,Ajuste del color,Farbanpassung,色調整,
s_start_OutlineLighting,Iluminación,Beleuchtung,点灯,
s_end_OutlineLighting,Iluminación,Beleuchtung,点灯,
s_start_OutlineZOffset,Esquema de desplazamiento en profundidad Z,Umriss Z Offset,Zオフセットのアウトライン,
_OutlineZOffsetChannel,Canal de la máscara,Umriss den Maskenkanal,アウトラインマスクチャネル,
_OutlineZOffsetMaskStrength,Intensidad de la máscara,Maskenstärke,マスク強度,
_OutlineZOffsetInvertMaskChannel,Invertir el canal de la máscara,Maskenkanal invertieren,マスクチャネルを反転させます,
_OutlineZOffsetVertexColor,Canal del color de los vértices,Scheitelpunktkanal,頂点カラーチャネル,
_OutlineZOffsetVertexColorStrength,Intensidad del color de los vértices,Scheitelpunktfarbstärke,頂点の色強度,
s_start_VertexColors,Colores de los vértices,Scheitelpunktfarben,頂点の色,
s_end_VertexColors,Colores de los vértices,Scheitelpunktfarben,頂点の色,
s_start_OutlineRenderingOptions,Opciones de renderizado,Rendering -Optionen,レンダリングオプション,
_OutlineZWrite,Escritura de profundidad (ZWrite),ZWRITE,zWrite,
s_end_OutlineRenderingOptions,Opciones de renderizado,Rendering -Optionen,レンダリングオプション,
s_start_outline_al_color,Color,Farbe,色,
_OutlineALColorEnabled,Activar,Aktivieren,有効にする,
_AudioLinkOutlineColorBand,Banda,Band,バンド,
_AudioLinkOutlineColorMod,Reemplazar,Ersetzen,交換する,
_AudioLinkOutlineColor,Color,Farbe,色,
s_end_outline_al_color,Color,Farbe,色,
m_start_udimfacediscardOptions,Descartar caras,Gesicht wegwerfen,面の破棄,
_EnableUDIMFaceDiscardOptions,Activado,Ermöglicht,有効になっています,
_UDIMFaceDiscardUV,Descartar por UV de cara,Gesicht verwerfen uv,面を破棄するuv,
_UDIMFaceDiscardFace,Cara a descartar,Gesicht zu verwerfen,面を破棄する,
_UDIMFaceDiscardRow3_0,V = 3,v = 3,V = 3,
_UDIMFaceDiscardRow2_0,V = 2,v = 2,V = 2,
_UDIMFaceDiscardRow1_0,V = 1,v = 1,v = 1,
_UDIMFaceDiscardRow0_0,V = 0,v = 0,v = 0,
m_end_udimfacediscardOptions,Descartar caras,Reihe 3,行3,
s_start_EdgeMenu,Borde,Rand,角,
s_start_DissolvedMenu,Disolución,Aufgelöst,溶解した,
s_start_TransitionMenu,Transición,Übergang,遷移,
s_start_MaskingMenu,Enmascaramiento,Maskierung,マスキング,
_DissolveApplyGlobalMaskIndex,Disuelto en la máscara global,Auf globale Maske aufgelöst,グローバルマスクに溶解しました,
_DissolveApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
_DissolveInverseApplyGlobalMaskIndex,No disuelto en la máscara global,Auf globale Maske nicht aufpackt,グローバルマスクに溶解していません,
_DissolveInverseApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンド,
s_start_DissolveAudioLink,AudioLink,Audio -Link,オーディオリンク,
s_end_DissolveAudioLink,AudioLink,Audio -Link,オーディオリンク,
_DissolveHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_DissolveHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
_DissolveEdgeHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_DissolveEdgeHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_start_UVTileDissolveRow3,Alfa de la fila 3,Reihe 3 Alpha,行3アルファ,
s_end_UVTileDissolveRow3,Alfa de la fila 3,Reihe 3,行3,
s_start_UVTileDissolveRow2,Alfa de la fila 2 ,Reihe 2 Alpha,行2アルファ,
s_end_UVTileDissolveRow2,Alfa de la fila 2,Reihe 2,行2,
s_start_UVTileDissolveRow1,Alfa de la fila 1,Reihe 1 Alpha,行1アルファ,
s_end_UVTileDissolveRow1,Alfa de la fila 1,Reihe 1,行1,
s_start_UVTileDissolveRow0,Alfa de la fila 0,Zeile 0 Alpha,行0アルファ,
s_end_UVTileDissolveRow0,Alfa de la fila 0 ,Reihe 0,行0,
_FlipbookBlendType,Tipo de mezcla,Mischen,ブレンド,
s_start_Positioning,Colocación,Positionierung,ポジショニング,
_FlipbookPanning,Barrido UV,Pan UV,パンUV,
s_start_FlipbookManualFrameControl,Control manual del cuadro,Handbuchsteuerung,手動フレーム制御,
s_start_FlipbookStartAndEnd,Bucle de cuadros de inicio/fin,Start/Endrahmenschleife,フレームループを開始/終了します,
s_start_FlipbookCrossfade,Transición entre cuadros,Frame Crossfade,フレームクロスフェード,
s_start_FlipbookHueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_FlipbookHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_FlipbookHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_end_FlipbookHueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_EmissionFluorescence,Fluorescente,Fluoreszenz,蛍光,
s_start_EmissionHueShift0,Ajuste de color,Farbanpassung,色調整,
_EmissionHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_EmissionHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
_EmissionSaturation,Saturación,Sättigung,飽和,
s_start_EmissionCenterOut0,Centrada,Zentrieren,センターアウト,
s_start_EmissionLightBased0,Fosforescente,Lichtbasiert,ライトベース,
s_start_EmissionBlinking0,Parpadeante,Blinzeln,点滅,
s_start_ScrollingEmission0,Deslizante,Scrollen,スクロール,
s_start_EmissionAL0Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_end_EmissionAL0Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_start_EmissionAL0Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_end_EmissionAL0Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_start_EmissionAL0COut,Centrada,Zentrieren,センターアウト,
s_end_EmissionAL0COut,Centrada,Zentrieren,センターアウト,
_EmissionFluorescence1,Fluorescente,Fluoreszenz,蛍光,
s_start_EmissionHueShift1,Ajuste de color,Farbanpassung,色調整,
_EmissionHueShiftColorSpace1,Espacio de color,Farbraum,カラースペース,
_EmissionHueSelectOrShift1,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフト,
_EmissionSaturation1,Saturación,Sättigung,飽和,
s_start_EmissionCenterOut1,Centrada,Zentrieren,センターアウト,
s_start_EmissionLightBased1,Fosforescente,Lichtbasiert,ライトベース,
s_start_EmissionBlinking1,Parpadeante,Blinzeln,点滅,
s_start_ScrollingEmission1,Deslizante,Scrollen,スクロール,
s_start_EmissionAL1Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_end_EmissionAL1Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_start_EmissionAL1Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_end_EmissionAL1Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_start_EmissionAL1COut,Centrada,Zentrieren,センターアウト,
s_end_EmissionAL1COut,Centrada,Zentrieren,センターアウト,
_EmissionFluorescence2,Fluorescente,Fluoreszenz,蛍光,
s_start_EmissionHueShift2,Ajuste de color,Farbanpassung,色調整,
_EmissionHueShiftColorSpace2,Espacio de color,Farbraum,カラースペース,
_EmissionHueSelectOrShift2,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフト,
_EmissionSaturation2,Saturación,Sättigung,飽和,
s_start_EmissionCenterOut2,Centrada,Zentrieren,センターアウト,
s_start_EmissionLightBased2,Fosforescente,Lichtbasiert,ライトベース,
s_start_EmissionBlinking2,Parpadeante,Blinzeln,点滅,
s_start_ScrollingEmission2,Deslizante,Scrollen,スクロール,
s_start_EmissionAL2Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_end_EmissionAL2Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_start_EmissionAL2Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_end_EmissionAL2Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_start_EmissionAL2COut,Centrada,Zentrieren,センターアウト,
s_end_EmissionAL2COut,Centrada,Zentrieren,センターアウト,
_EmissionFluorescence3,Fluorescente,Fluoreszenz,蛍光,
s_start_EmissionHueShift3,Ajuste de color,Farbanpassung,色調整,
_EmissionHueShiftColorSpace3,Espacio de color,Farbraum,カラースペース,
_EmissionHueSelectOrShift3,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフト,
_EmissionSaturation3,Saturación,Sättigung,飽和,
s_start_EmissionCenterOut3,Centrada,Zentrieren,センターアウト,
s_start_EmissionLightBased3,Fosforescente,Lichtbasiert,ライトベース,
s_start_EmissionBlinking3,Parpadeante,Blinzeln,点滅,
s_start_ScrollingEmission3,Deslizante,Scrollen,スクロール,
s_start_EmissionAL3Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_end_EmissionAL3Multiply,Multiplicador de intensidad,Stärke multiplizieren,強度を乗算,
s_start_EmissionAL3Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_end_EmissionAL3Add,Aditivo de intensidad,Kraft hinzufügen,強度を追加,
s_start_EmissionAL3COut,Centrada,Zentrieren,センターアウト,
s_end_EmissionAL3COut,Centrada,Zentrieren,センターアウト,
_GlitterLayers,Capas,Schichten,レイヤー,
s_start_GlitterColorAndShape,Forma y color,Form & Farbe,形状と色,
s_end_GlitterColorAndShape,Color,Farbe,色,
s_start_GlitterPositionSize,Posición y tamaño,Position & Größe,位置とサイズ,
_GlitterRandomLocation,Posición aleatoria,Zufällige Position,ランダムな位置,
s_end_GlitterPositionSize,Posición y tamaño,Position & Größe,位置とサイズ,
s_start_GlitterSparkleControl,Control de brillantina,Funkelkontrolle,スパークルコントロール,
s_end_GlitterSparkleControl,Control de brillantina,Funkelkontrolle,スパークルコントロール,
s_start_GlitterRotationSection,Rotaciones,Rotationen,回転,
_GlitterRandomRotationSpeed,Rango de velocidad aleatoria,Zufallsgeschwindigkeitsbereich,ランダム速度範囲,
s_end_GlitterRotationSection,Rotaciones,Rotationen,回転,
s_start_GlitterMask,Enmascaramiento y enmascaramiento de la luz,Maskierung und Lichtmaskierung,マスキングとライトマスキング,
_GlitterMaskInvert,Invertir,Umkehren,反転,
_GlitterScaleWithLighting,Escala según la iluminación,Skalieren mit Beleuchtung,照明付きのスケール,
s_end_GlitterMask,Enmascaramiento y enmascaramiento de la luz,Maskierung,マスキング,
s_start_GlitterHueShiftSection,Cambio de tono,Farbtonverschiebung,色相シフト,
_GlitterHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_GlitterHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
s_end_GlitterHueShiftSection,Cambio de tono,Farbtonverschiebung,色相シフト,
s_start_GlitterAudioLink,AudioLink ♫,Audio -Link ♫,オーディオリンク♫,
_GlitterALEnabled,Activar AudioLink,Aktivieren Sie den Audio -Link,オーディオリンクを有効にします,
_GlitterALAlphaAddBand,Banda alfa,Alpha -Band,アルファバンド,
_GlitterALAlphaAdd,Modificador alfa,Alpha Mod,アルファ mod,
_GlitterALMaxBrightnessBand,Banda de brillo máximo,Max Helligkeitsband,マックスブライトネスバンド,
_GlitterALMaxBrightnessAdd,Modificador de brillo máximo,Max Helligkeit Mod,最大明度 mod,
_GlitterALSizeAddBand,Banda del tamaño,Größenband,サイズバンド,
_GlitterALSizeAdd,Modificador del tamaño,Größenmod,サイズmod,
_GlitterALChronoSparkleSpeedType,Tipo de las chispas de cronotensidad,Chrono Sparkle Type,クロノスパークルタイプ,
_GlitterALChronoSparkleSpeedBand,Banda de las chispas de cronotensidad,Chrono Sparkle Band,クロノスパークルバンド,
_GlitterALChronoSparkleSpeed,Velocidad de las chispas de cronotensidad,Chrono Sparkle Geschwindigkeit,クロノスパークルスピード,
_GlitterALChronoRotationSpeedType,Tipo de rotación de cronotensidad,Chrono -Rotationstyp,クロノ回転タイプ,
_GlitterALChronoRotationSpeedBand,Banda de rotación de cronotensidad,Chrono -Rotationsband,クロノ回転バンド,
_GlitterALChronoRotationSpeed,Velocidad de rotación de cronotensidad,Chrono -Rotationsgeschwindigkeit,クロノ回転速度,
s_end_GlitterAudioLink,AudioLink,Audio -Link,オーディオリンク,
_PathSource,Ruta fuente,Pfadquelle,パスソース,
_PathSurfaceBlendMode,Modo de mezcla,Mischmodus,ブレンドモード,
_PathingUVSelect,UV,UV,UV,
_PathPointSampling,Muestreo de puntos,Punktabtastung,ポイントサンプリング,
s_start_PathTypes,Tipos de ruta,Pfadtypen,パスタイプ,
s_end_PathTypes,Tipos de ruta,Pfadtypen,パスタイプ,
s_start_PathColors,Colores de la ruta,Pfadfarben,パスカラー,
s_end_PathColors,Colores de la ruta,Pfadfarben,パスカラー,
s_start_PathSourceDirections,Direcciones de la ruta fuente,Pfadquelle Anweisungen,パスソースの方向,
_PathSourceDirR,Dirección (Canal R),R Richtung,r方向,
_PathSourceDirG,Dirección (Canal G),G Richtung,G方向,
_PathSourceDirB,Dirección (Canal B),B Richtung,b方向,
_PathSourceDirA,Dirección (Canal A),Eine Richtung,方向,
s_end_PathSourceDirections,Direcciones de la ruta fuente,Pfadquelle Anweisungen,パスソースの方向,
s_start_PathAppearance,Apariencia de la ruta,Pfadauftritt,パスの外観,
_PathGapLengths,Longitud de la separación,Lückenlänge,ギャップ長,
s_end_PathAppearance,Apariencia de la ruta,Pfadauftritt,パスの外観,
s_start_TimingOptions,Opciones temporales,Timing -Optionen,タイミングオプション,
s_end_TimingOptions,Opciones temporales,Timing -Optionen,タイミングオプション,
s_start_PathRemapping,Reasignación de la ruta,Pfadverformung,パスの再マッピング,
_EnablePathRemapping,Activar,Aktivieren,有効にする,
_PathRemapR,Reasignación (Canal R),R Range,r範囲,
_PathRemapG,Reasignación (Canal G),G -Bereich,G範囲,
_PathRemapB,Reasignación (Canal B),B Range,B範囲,
_PathRemapA,Reasignación (Canal A),Eine Reichweite,範囲,
s_end_PathRemapping,Reasignación de la ruta,Pfadverformung,パスの再マッピング,
_PathALHistoryMode,Modo del historial,Verlaufsmodus,履歴モード,
_PathALHistoryRangeR,Rango (Canal R),R Range,r範囲,
_PathALHistoryRangeG,Rango (Canal G),G -Bereich,G範囲,
_PathALHistoryRangeB,Rango (Canal B),B Range,B範囲,
_PathALHistoryRangeA,Rango (Canal A),Eine Reichweite,範囲,
_PathALAutoCorrelatorMode,Modo de la autocorrelación,Autokorrelatormodus,自動相関者モード,
_PathALAutoCorrelatorRangeR,Rango (Canal R),R Range,r範囲,
_PathALAutoCorrelatorRangeG,Rango (Canal G),G -Bereich,G範囲,
_PathALAutoCorrelatorRangeB,Rango (Canal B),B Range,B範囲,
_PathALAutoCorrelatorRangeA,Rango (Canal A),Eine Reichweite,範囲,
_PathALColorChord,<size=13><b>Acorde de color </b></size>,<size=13><b>Farbakkord </b></size>,<サイズ= 13> <b>カラーコード</b></size>,
s_start_MirrorTexture,Textura y color en espejo,Spiegelstruktur & Farbe,ミラーテクスチャと色,
_MirrorTextureEnabled,Activar,Aktivieren,有効にする,
_MirrorTextureForceEnabled,Prueba,Prüfen,テスト,
_DepthFXWarning,Los efectos de profundidad no escriben en profundidad,"Tiefe FX schreibt nicht in die Tiefe, was bestimmte transparente Effekte wie benutzerdefinierte Nebel und Raymarching brechen kann",深さのFXは深さに書き込みません。,
s_start_DepthFXColorEmission,Color y emisión,Farbe und Emission,色と発光,
s_start_DepthAlpha,Alfa,Alpha,アルファ,
_TextFPSOutlineColor,Color del contorno,Umrunden Farbe,アウトライン色,
s_start_ParallaxInternalLayerControls,Controles de capas,Schichtsteuerung,レイヤーコントロール,
s_start_ParallaxInternalLayerColoring,Colores de capas,Schichtfarben,色の層,
_ParallaxInternalBlendMode,Modo de mezcla interna,Interner Mischmodus,内部ブレンドモード,
_ParallaxInternalSurfaceBlendMode,Modo de mezcla superficial,Oberflächenmischmodus,表面ブレンドモード,
s_start_ParallaxInternalHueShift,Cambio de tono,Farbtonverschiebung,色相シフト,
_ParallaxInternalHueShiftColorSpace,Espacio de color,Farbraum,カラースペース,
_ParallaxInternalHueSelectOrShift,Seleccionar o cambiar,Wählen oder verschieben,選択またはシフトします,
m_start_voronoi,Voronoi,Voronoi,ボロノイ,
_VoronoiEnabled,Voronoi activado,Voronoi aktiviert,ボロノイが有効になっています,
_VoronoiType,Tipo,Typ,タイプ,
